date,url,tags,au_url,au_id,title,description,year
2016-09-27,task-performance-indicator-management-metric-for-customer-experience,design,gmcgovern,Gerry McGovern,Task Performance Indicator: A Management Metric for Customer Experience,"User experience metrics should deliver tangible, actionable information.",2016
2016-09-20,why-we-should-all-be-data-literate,design;user-experience,danturner,Dan Turner,Why We Should All Be Data Literate,"If you’re data illiterate, there’s a good chance that your designs—based on the data you don’t understand—will be rubbish.",2016
2016-09-13,designing-interface-animation-interview-with-val-head,state-of-the-web;interaction-design,mmcpheeters;carenlitherland,Mica McPheeters;Caren Litherland,Designing Interface Animation: an Interview with Val Head,"Author Val Head joins us for a multifaceted conversation about her new book, Designing Interface Animation.",2016
2016-09-13,designing-interface-animation,interaction-design,valhead,Val Head,Designing Interface Animation,Val Head explores the relationship between animation and branding in an excerpt from Designing Interface Animation.,2016
2016-09-06,webfonts-on-the-prairie,typography-web-fonts,spartan,Richard Fink,Webfonts on the Prairie,"It’s 2016, Rich Fink reminds us. Webfonts have blossomed. Surely no one would argue for a return to system fonts, right? Wrong.",2016
2016-08-30,help-we-think-we-need-to-hire-a-content-strategist,content-strategy;business,jennifer-bassett,Jennifer Bassett,Help! We (Think We) Need to Hire a Content Strategist,"“Are you sure you need to hire a content strategist?” asks Jennifer Bassett. Maybe, maybe not! Let a strategist help you decide.",2016
2016-08-23,why-arent-you-asking-questions,design,janice-gervais,Janice Gervais,Why Aren’t You Asking Questions?,"For a deeper understanding of your clients’ design needs, ask the right questions, ask the right people, and ask the right way.",2016
2016-08-16,communicating-animation,workflow-tools;interaction-design,RachelNabors,Rachel Nabors,Communicating Animation,Animation expert Rachel Nabors demonstrates how we can create effective animation documentation for our own teams.,2016
2016-08-15,another-10k-apart,industry,zeldman,Jeffrey Zeldman,"Another 10k Apart: Create a Website in 10 KB, Win Prizes!",An Event Apart + Microsoft Edge present a new 10k challenge: build a great site that works without JavaScript in 10 KB  or less.,2016
2016-08-09,practical-svg,browsers;css;responsive-design,chriscoyier,Chris Coyier,Practical SVG,"In this excerpt from Practical SVG, Chris Coyier demonstrates how sizing svg opens up new possibilities.",2016
2016-08-02,finding-opportunities-in-the-mistakes-we-make,industry,clarice-bouwer,Clarice Bouwer,Finding Opportunities in the Mistakes We Make,Doing what you love may leave you directionless; you need clear goals found through self-reflection.,2016
2016-07-26,resurrecting-dead-personas,content;user-experience,megdickeykurdziolek,Meg Dickey-Kurdziolek,Resurrecting Dead Personas,"Your users evolve, which mean your user personas should evolve as well.",2016
2016-07-19,adapting-to-input,code;design;user-experience,jason-grigsby,Jason Grigsby,Adapting to Input,The way of the web now means adapting to ever-multiplying forms of input.,2016
2016-07-14,the-itinerant-geek,process,rachelandrew,Rachel Andrew,The Itinerant Geek,Enjoy travel while staying healthy and productive with great tips from road warrior Rachel Andrew.,2016
2016-07-12,strategies-for-healthier-dev,industry,hj_chen,Chen Hui Jing,Strategies for Healthier Dev,"Sheer willpower isn’t necessarily the best way for knowledge workers to approach fitness, suggests Chen Hui Jing.",2016
2016-07-05,create-an-evolutionary-web-strategy-with-a-digital-mro-plan,process,david-hillis,David Hillis,Create an Evolutionary Web Strategy with a Digital MRO Plan,A Maintain-Repair-Overhaul plan isn’t just for valuable physical assets—digital MRO keeps websites tuned between redesigns.,2016
2016-06-28,the-foundation-of-technical-leadership,process,brandongregory,Brandon Gregory,The Foundation of Technical Leadership,Tech leadership is the skillful combination of technical expertise and the best management principles.,2016
2016-06-21,the-future-of-the-web,industry;state-of-the-web,mattgriffin,Matt Griffin,The Future of the Web,To get the web where it needs to go we have to do it wrong first.,2016
2016-06-17,help-one-of-our-own-carolyn-wood,community,alastaff,ALA Staff,Help One of Our Own: Carolyn Wood,An open call to the web community to pull together and give back to our colleague and friend Carolyn Wood.,2016
2016-06-14,promoting-a-design-system-across-your-products,industry;project-management,nathancurtis,Nathan Curtis,Promoting a Design System Across Your Products,"A system’s success is all about how you define and message it, says Nathan Curtis.",2016
2016-06-07,making-your-javascript-pure,javascript,jack-franklin,Jack Franklin,Making your JavaScript Pure,"Apply the principles of purely functional languages to your JavaScript to gain more reliable, self-documenting codebases.",2016
2016-06-01,commit-to-contribute,code;process,remy-sharp,Remy Sharp,Commit to Contribute,Remy Sharp brings the love by adopting some tools to make newcomers more comfortable contributing to open source projects.,2016
2016-05-25,once-upon-a-time,business,agibson,Anne Gibson,Once Upon a Time,"Business communications benefit from better, tighter delivery—a technique we learned from fairy tales, Anne Gibson reminds us.",2016
2016-05-17,the-rich-typefaces-get-richer,state-of-the-web;typography-web-fonts,jeremiah-shoaf,Jeremiah Shoaf,The Rich (Typefaces) Get Richer,The same typefaces crop up everywhere on the web. But why? Jeremiah Shoaf thinks the answer might lie in cognitive biases.,2016
2016-05-10,never-show-a-design-you-havent-tested-on-users,design;user-experience,idaaa,Ida Aalen,Never Show A Design You Haven’t Tested On Users,"User testing is a necessary part of the design process, not a luxury.",2016
2016-05-03,meaningful-css-style-like-you-mean-it,css;state-of-the-web,tim-baxter,Tim Baxter,Meaningful CSS: Style Like You Mean It,"Tim Baxter encourages us to move beyond the “measles of markup” to write rich, semantic HTML and CSS. Only habit is stopping us.",2016
2016-04-26,prototypal-object-oriented-programming-using-javascript,javascript,mehdi-maujood,Mehdi Maujood,Prototypal Object-Oriented Programming using JavaScript,Understand the difference between classes and prototypes to unlock JavaScript’s dynamic hidden superpower: delegation.,2016
2016-04-19,ooux-a-foundation-for-interaction-design,user-experience;information-architecture;interaction-design,sophiavoychehovski,Sophia Voychehovski,OOUX: A Foundation for Interaction Design,"Before you plan the trip, make sure you know who’s coming. Sophia Voychehovski tells us why action-first design is risky business.",2016
2016-04-12,looking-for-trouble,user-experience;industry,orr-shtuhl,Orr Shtuhl,Looking for “Trouble”,Seeing clients as clueless or “difficult” is a red flag—for us. How to turn client confusion into better experiences.,2016
2016-04-05,the-users-journey,user-experience;web-strategy;workflow-tools,donna-lichaw,Donna Lichaw,The User’s Journey,Translate analytics into product paths with narrative structures. New excerpt from Donna Lichaw’s The User’s Journey.,2016
2016-03-29,design-for-real-life-excerpt,user-experience;web-strategy,sboettcher;emeyer,Sara Wachter-Boettcher;Eric Meyer,Design for Real Life,"In an excerpt from Design for Real Life, Eric A. Meyer and Sara Wachter-Boettcher discuss designing for stress cases.",2016
2016-03-29,design-for-real-life-interview-with-sara-wachter-boettcher,user-experience;industry,mmcpheeters;sboettcher,Mica McPheeters;Sara Wachter-Boettcher,Design for Real Life: An Interview with Sara Wachter-Boettcher,"Sara Wachter-Boettcher, coauthor of Design for Real Life, reflects on how we too easily dismiss users in crisis.",2016
2016-03-22,web-animation-past-present-and-future,code;user-experience;interaction-design,RachelNabors,Rachel Nabors,"Web Animation Past, Present, and Future","Web animation is undergoing an explosive evolution, reframing what it means to design for the web.",2016
2016-03-15,aligning-content-work-with-agile-processes,content-strategy;project-management,brendanmurray,Brendan Murray,Aligning Content Work with Agile Processes,Brendan Murray persuasively argues that agile development is a framework within which content work can flourish.,2016
2016-03-08,impulses-and-outcomes,creativity,mattgriffin,Matt Griffin,Impulses and Outcomes,Designers need to overcome their own predispositions to produce what’s needed for the project.,2016
2016-03-01,defeating-workplace-drama-with-emotional-intelligence,project-management,brandongregory,Brandon Gregory,Defeating Workplace Drama with Emotional Intelligence,"There’s a straightforward emotional equation to explain workplace behavior that, on its face, makes no sense.",2016
2016-02-23,designing-the-conversational-ui,design;user-experience,mattymariansky,Matty Mariansky,Designing the Conversational UI,Matty Mariansky offers guidelines for translating specific patterns into conversational form when designing conversational UIs.,2016
2016-02-23,all-talk-and-no-buttons-the-conversational-ui,design;user-experience,mattymariansky,Matty Mariansky,All Talk and No Buttons: The Conversational UI,What if an interface has no (graphic) interface? Matty Mariansky introduces us to designing conversational UIs.,2016
2016-02-17,validating-product-ideas,user-experience,tomersharon,Tomer Sharon,Validating Product Ideas,"Concrete user research guidance in this excerpt from Tomer Sharon’s new book, Validating Product Ideas.",2016
2016-02-11,finessing-fecolormatrix,css;workflow-tools,unakravets,Una Kravets,Finessing `feColorMatrix`,"Harness the power of feColorMatrix to create detailed filters, with Una Kravets as your guide.",2016
2016-02-09,pain-with-no-name,information-architecture,abby-covert,Abby Covert,The Pain With No Name,Information architecture is the problem…and the solution.,2016
2016-02-02,the-art-of-the-commit,code;workflow-tools,ddemaree,David Demaree,The Art of the Commit,"In an excerpt from Git for Humans, David Demaree outlines some best practices for crafting effective commit messages.",2016
2016-01-26,the-high-price-of-free,industry,rachelandrew,Rachel Andrew,The High Price of Free,Our industry has come to depend on a certain amount of unpaid labor that we’re not all privileged to be able to contribute to.,2016
2016-01-19,motion-with-meaning-semantic-animation-in-interface-design,interaction-design,aminalhazwani;tobiasbernard,Amin Al Hazwani;Tobias Bernard,Motion with Meaning: Semantic Animation in Interface Design,Animation is a staple of UI design. Amin Al Hazwani and Tobias Bernard address one aspect of animation that rarely gets discussed.,2016
2016-01-12,back-to-the-future-in-2016,community;state-of-the-web,alastaff,ALA Staff,Back to the Future in 2016,"We asked some of our smartest friends in the web community what they planned to get up to in 2016—and wow, did they ever answer!",2016
2016-01-05,blending-modes-demystified,css;workflow-tools,ragdoll,Justin McDowell,Blending Modes Demystified,"With a few lines of CSS, we can now flexibly add Photoshop-level blending effects to our designs. @revoltpuppy leads the way.",2016
2015-12-17,/column/write-what-you-know-now,writing,mllobrera,Mark Llobrera,Write What You Know (Now),Give yourself permission to write incomplete and imperfect stories. They’re yours and their value comes from more than technique.,2015
2015-12-15,interaction-is-an-enhancement,browsers;javascript,agustafson,Aaron Gustafson,Interaction Is an Enhancement,"In this excerpt, Aaron Gustafson looks at the limitations of JavaScript and advocates for a solution: progressive enhancement.",2015
2015-12-08,design-white-lies-ethics,interaction-design;user-research,danturner,Dan Turner,"Design, White Lies & Ethics","Dan Turner explores the gray areas of user expectations, honest interfaces, and making design decisions with integrity.",2015
2015-12-03,/column/know-people,business,rachelandrew,Rachel Andrew,It’s the People They Know,"Sometimes your best clients come to you via very roundabout paths, so stay open to many kinds of people and situations.",2015
2015-11-24,frameworks,responsive-design,emarcotte,Ethan Marcotte,Frameworks,"In this excerpt, Ethan Marcotte examines frameworks for thinking about responsive design principles and applying them to our work.",2015
2015-11-24,rolling-out-responsive,responsive-design,kmcgrane,Karen McGrane,Rolling Out Responsive,M-dot? Beta? Find the right approach for your redesign project in this excerpt from Karen McGrane’s Going Responsive.,2015
2015-11-18,/column/standing-out-from-the-crowd,business,zeldman,Jeffrey Zeldman,Looking for Love: Standing Out from the Crowd of Web Job Seekers,"When you have a solid resume but can’t seem to connect with the right job, reframe your career niche or refocus your work persona to open different hiring tracks.",2015
2015-11-17,mixing-color-for-the-web-with-sass,css;workflow-tools,ragdoll,Justin McDowell,Mixing Color for the Web with Sass,We’ve barely scratched the surface of what color on the web can be. But Sass gives us a powerful new tool to nuance our palettes.,2015
2015-11-11,/column/balancing-the-scale,business,mattgriffin,Matt Griffin,Balancing the Scale,"Huge firm, small team, solo—each work environment has certain characteristics; it’s just a matter of knowing which suits you best.",2015
2015-11-05,/column/singapore-a-hub-for-designers,business,alefeuvre,Antoine Lefeuvre,"Singapore, a Hub for Designers?",Singapore continually recreates itself—and it’s becoming a choice pied-à-terre in Asia for startups and creatives.,2015
2015-11-03,from-pages-to-patterns-an-exercise-for-everyone,process;workflow-tools,charlottejackson,Charlotte Jackson,From Pages to Patterns: An Exercise for Everyone,Get away from the screen! Break out the paper and scissors! Charlotte Jackson shares an exercise for developing pattern thinking.,2015
2015-11-03,how-we-hold-our-gadgets,mobile-multidevice,joshclark,Josh Clark,How We Hold Our Gadgets,"In an excerpt from Designing for Touch, Josh Clark looks at how thumbs and fingers change our interactions with handheld devices.",2015
2015-10-22,/column/offering-feedback,application-development;workflow-tools,rachelandrew,Rachel Andrew,Offering Feedback,"If you ever write code to extend a tool for your own workflow, consider sharing your use case with the developer.",2015
2015-10-20,object-oriented-ux,information-architecture;interaction-design,sophiavoychehovski,Sophia Voychehovski,Object-Oriented UX,"Patterns and modules help us design for mobile, but they’re not enough. Enter object mapping: a method for modeling information.",2015
2015-10-20,choosing-a-cms-your-organization-will-love,business;workflow-tools,Artas,Artas Bartas,Choosing a CMS Your Organization Will Love,Find the right CMS: skip the fancy functionality and opt for meeting the needs of your team’s day-to-day workflow.,2015
2015-10-14,/column/groups-of-five,industry,rainypixels,Nishant Kothary,Groups of Five,"Just when you think you’ve got a pattern dialed in, you notice another twist.",2015
2015-10-07,/column/the-analog-revolution,application-development;interaction-design,rvandermerwe,Rian van der Merwe,The Analog Revolution,"Back in the day, when software was released, it was considered done. Today, such a sense of responsibility might impel us to make products meant to last.",2015
2015-10-06,using-responsive-images-now,responsive-design,hj_chen,Chen Hui Jing,Using Responsive Images (Now),Use responsive images now! Chen Hui Jing introduces us to the new selection types and shows us how we can make them work for us.,2015
2015-10-06,reclaiming-social-content-strategy-for-social-media,content-strategy;writing,idaaa;idajackson,Ida Aalen;Ida Jackson,Reclaiming Social: Content Strategy for Social Media,"Social media is content, too—and it needs the same strategic love (planning and governance!) as the rest of your website.",2015
2015-09-30,/column/how-do-we-get-it-done-now,application-development;the-server-side;mobile-multidevice,lgardner,Lyza Danger Gardner,"How Do We Get It Done, Now?",There is an ongoing conflict between what we want to believe is doable and what’s actually feasible.,2015
2015-09-24,/column/nearly-headless-cms,application-development;javascript;workflow-tools,mllobrera,Mark Llobrera,The Nearly-Headless CMS,"A headless CMS could solve one or more problems for you, and implementing it is more doable than you may realize.",2015
2015-09-22,privacy-is-ux,user-experience,alexschmidt,Alex Schmidt,Privacy is UX,It’s time for designers and product owners to make privacy part of their process.,2015
2015-09-22,managing-your-content-management-system,content-strategy;workflow-tools,rorydouglas,Rory Douglas,Managing Your Content Management System,"When implementing a new CMS, says Rory Douglas, give your users some freedom—but not enough freedom to mess things up.",2015
2015-09-08,hello-my-name-is-error,interaction-design;usability,aimeegonzalez,Aimee Gonzalez-Cameron,"Hello, My Name is <Error>",Aimee Gonzalez explains how increasing cultural awareness in our teams and processes can improve web form design.,2015
2015-09-08,designing-safer-web-animation-for-motion-sensitivity,accessibility;interaction-design,valhead,Val Head,Designing Safer Web Animation For Motion Sensitivity,Val Head suggests accessible animation techniques to avoid triggering dizziness in users with inner ear and balance disorders.,2015
2015-09-02,/column/the-distance-to-here,industry;user-research,rvandermerwe,Rian van der Merwe,The Distance to Here,"If decision makers aren’t attuned to user problems, they focus on marketable “features” that may not improve the product.",2015
2015-08-27,/column/buy-him-a-coffee,project-management,rainypixels,Nishant Kothary,“Buy Him A Coffee”,The ability to influence others isn’t for extroverts only— it’s a skill to learn and practice.,2015
2015-08-25,multimodal-perception-when-multitasking-works,web-strategy;interaction-design,grahamherrli,Graham Herrli,Multimodal Perception: When Multitasking Works,"Using multimodality, says Graham Herrli, we can make things easier to understand by making them more complex to perceive.",2015
2015-08-25,thinking-responsively-a-framework-for-future-learning,responsive-design;workflow-tools,paulrobertlloyd,Paul Robert Lloyd,Thinking Responsively: A Framework for Future Learning,"Paul Robert Lloyd proposes a framework for thinking about our users, our medium, and our teams in the era of responsive design.",2015
2015-08-13,/column/process-supports-creativity,creativity;workflow-tools,rachelandrew,Rachel Andrew,Creating Process to Free up Time for Creativity,A system for getting the process-driven tasks out of the way makes more room for creative work.,2015
2015-08-11,sharing-our-work-testing-feedback-in-design,usability;user-research,jessica_harllee,Jessica Harllee,Sharing Our Work: Testing and Feedback in Design,"Test widely, test often: learn how Etsy integrates robust research into their design process for stronger, user-centered results.",2015
2015-08-11,language-of-modular-design,process;workflow-tools,craftui,Alla Kholmatova,The Language of Modular Design,"Teams who want to adopt a modular design approach should start with a shared vocabulary, emphasizes author Alla Kholmatova.",2015
2015-08-06,/column/the-tedium-of-managing-code,application-development;javascript,lgardner,Lyza Danger Gardner,The Tedium of Managing Code,The humdrum work of managing all those interlocking bits of code demands your focus when you’d rather be implementing.,2015
2015-07-30,/column/job-hunting-for-web-designers-and-developers,business,zeldman,Jeffrey Zeldman,If Ever I Should Leave You: Job Hunting For Web Designers and Developers,"If you’ve never quit a job, or find it painfully awkward, get Dr. Web’s advice on when, why, and how to exit a job strategically.",2015
2015-07-28,summer-reading-issue-2015,css;community;state-of-the-web;typography-web-fonts;workflow-tools;accessibility,alastaff,ALA Staff,2015 Summer Reading Issue,"Our 2015 compilation of articles, blogs, and other gems from across the web: perfect summer reading, poolside and beyond.",2015
2015-07-23,/column/memory-management,workflow-tools,mllobrera,Mark Llobrera,Memory Management,"For a low-key yet powerful career booster, have a robust process to handle all those little bits of info you need while working.",2015
2015-07-16,/column/love-the-web-learn-swift,application-development,rainypixels,Nishant Kothary,"The Dominey Effect: For the Love of the Web, Learn Swift",Learning Apple’s open-source programming language Swift is really just another way to love the web.,2015
2015-07-14,risky-business-of-onboarding,interaction-design;usability,rickpastoor,Rick Pastoor,The Risky Business of Onboarding,"Rick Pastoor explains his three-stage framework—identifying, teaching, engaging—to build better product onboarding experiences.",2015
2015-07-14,performance-showing-versus-telling,browsers;workflow-tools,larahogan,Lara Hogan,Performance: Showing Versus Telling,"The most challenging part of performance optimization, writes Lara Hogan, is getting other people to care about it.",2015
2015-07-02,/column/small-business-software-audits,business,rachelandrew,Rachel Andrew,Software Audits for the Tiny Business,Full access to the software and services your business runs on is crucial; be sure you know all current license and login details.,2015
2015-06-30,container-queries-once-more-unto-the-breach,css;state-of-the-web;mobile-multidevice,matmarquis,Mat Marquis,Container Queries: Once More Unto the Breach,Tying responsive CSS to viewport sizes can lead to tangled stylesheets—Mat Marquis issues a challenge to find a simpler solution.,2015
2015-06-30,create-a-content-compass,content-strategy;workflow-tools,Meghscase,Meghan Casey,Create a Content Compass,Learn methods for creating core strategy statements and messaging frameworks in this excerpt from The Content Strategy Toolkit.,2015
2015-06-25,/column/unsuck-the-enterprise,application-development;interaction-design,rvandermerwe,Rian van der Merwe,Unsuck the Enterprise,A framework to make enterprise software development better for everyone.,2015
2015-06-18,/column/creating-accurate-estimates,business;project-management,mattgriffin,Matt Griffin,The Art of Creating Accurate Estimates,Best approaches to developing accurate estimates.,2015
2015-06-16,understanding-emotional-response,process;workflow-tools,kelslundberg,Kelsey Lynn Lundberg,Understanding the Emotional Response,Identify the needs that drive emotional responses—and how to turn them into productive discussions.,2015
2015-06-16,homepage-exception,content-strategy;web-strategy;information-architecture,hanabel,Johanna Bates,The Homepage Exception,Admins can end up battling the CMS for control of homepage content—unless we embrace the human-robot tension from the start.,2015
2015-06-11,/column/designing-for-post-connected-users-part-2,user-experience;interaction-design,alefeuvre,Antoine Lefeuvre,"Designing for Post-Connected Users — Part 2, the Recommendations",Post-connected users want communication tools that work on their terms and adapt to their preferences.,2015
2015-06-04,/column/no-good-can-come-of-bad-code,code;state-of-the-web,zeldman,Jeffrey Zeldman,No Good Can Come of Bad Code,What to do if your company is satisfied with junk markup.,2015
2015-06-02,crafting-a-design-persona,content-strategy;brand-identity;interaction-design,megdickeykurdziolek,Meg Dickey-Kurdziolek,Crafting a Design Persona,Meg Dickey-Kurdziolek shows you how to create a design persona that brings your brand’s personality to life.,2015
2015-06-02,resetting-agency-culture,business;industry,justindauer,Justin Dauer,Resetting Agency Culture,"Attention, agencies: employee dedication isn’t built through perks, but through investing in their health, happiness, and success.",2015
2015-05-28,/column/practicing-mentorship,industry,lgardner,Lyza Danger Gardner,Mentorship for the Novice Expert,"Our industry needs mentors. Good news is, with focus and practice it’s a skill anyone can gain.",2015
2015-05-21,/column/instant-web,user-experience;interaction-design;application-development;browsers;css;html;javascript;state-of-the-web;mobile-multidevice,mllobrera,Mark Llobrera,Instant Web,Facebook’s Instant Articles throws down the gauntlet to the open web over speed and performance.,2015
2015-05-19,meta-moments-thoughtfulness-by-design,user-experience,andrewgrimes,Andrew Grimes,Meta-Moments: Thoughtfulness by Design,Does the internet ever stop you in your tracks? Does it sometimes make you pause and think about what you’re doing? Andrew Grimes calls such moments meta-moments. He walks us through why meta-moments are occasionally necessary and how we might build them into the experiences we design.,2015
2015-05-19,approaching-content-strategy-for-personalized-websites,content-strategy;web-strategy,colineagan,Colin Eagan,Approaching Content Strategy for Personalized Websites,"Experience management systems are making it easier than ever to customize content for your visitors—but are you using your newfound personalizing powers for good (or for creepy)? Colin Eagan shows that personalization can be done, thoughtfully, using the same tools you would apply to any content strategy conundrum: by asking why, being deliberate, and putting users first.",2015
2015-05-14,/column/on-being-king-of-a-shrinking-castle,community;business,rachelandrew,Rachel Andrew,On Being King of a Shrinking Castle,"Being your own boss is awesome. You’re the sovereign of your fate—and with that autonomy comes responsibility for making your business thrive. Your time management skills are more important than ever as you continue to get your to-dos checked off. The thing is… if you get an unexpected call from a friend, can you get away from that tyrannical boss of yours to do something unplanned? Are you able to schedule time with friends or family without feeling that you’re falling behind on work? If you can’t afford to take time to strengthen your connections with others, you’re at risk of being the monarch (and the serf) of an impoverished kingdom, indeed.",2015
2015-05-07,/column/shouters-inc,state-of-the-web,rainypixels,Nishant Kothary,"SHOUTERS, Inc.","Sometimes, to make change happen, there has to be shouting. Other times, the shouting has to stop to allow change to happen. Right now we need to be talking—and listening—to each other, in our industry as well as in society. So why is it so hard to get these conversations going? Well, there’s the genuine guilt and anger that makes this super uncomfortable. On top of that, could it be we often lose our nerve at the prospect of feeding the indignation of the ALL-CAPS side of the internet? WAKE UP PEOPLE!",2015
2015-05-05,do-androids-dream-in-free-verse,content;user-experience,joscelincooper,Joscelin Cooper,Do Androids Dream in Free Verse?,"From ATMs to Siri to the button text in an application user interface, we “talk” to our tech—and our tech talks back. Often this exchange is purely transactional, but newer technologies have renegotiated this relationship. Joscelin Cooper reflects on how we can design successful human-machine conversations that are neither cloying nor overly mechanical.",2015
2015-05-05,building-nonlinear-narratives-for-the-web,writing;creativity;web-strategy;interaction-design,senongo-akpem,Senongo Akpem,Building Nonlinear Narratives for the Web,"The web operates in ways that can conflict with our traditional view of what a “story” is. Content is chunked, mixed, and spread across channels, devices, and formats. How do we understand story lines, characters, interactions, and the role of the audience, given this information sprawl? Cue nonlinear narratives—Senongo Akpem guides us past basic “scrolly-telling” to immersive, sometimes surprising experiences.",2015
2015-04-22,/column/why-we-work,community;industry,rvandermerwe,Rian van der Merwe,Why?,"Little kids have an endless supply of Why! Why is everything the way it is? Why do people do the things they do? We grownups don’t pester each other with a relentless stream of why?, and that’s mostly good. But kids could teach us to ask why when it needs to be asked: why are only some people able to build lives they love and find fulfilling work? Does everyone truly have the same chance, or do some of us start the game already a few rolls of the dice ahead? In order to grow, we have to ask the hard questions.",2015
2015-04-21,what-really-matters-focusing-on-top-tasks,content-strategy;web-strategy;information-architecture;user-research,gmcgovern,Gerry McGovern,What Really Matters: Focusing on Top Tasks,"Every piece of web content is important—or so every stakeholder insists. But what happens when dozens, even hundreds, of different tasks battle for space on your homepage and in your navigation? It’s time to make some hard choices about what does and doesn’t belong. Gerry McGovern demonstrates how to zero in on the tasks that matter most to your users.",2015
2015-04-21,standardization-and-the-open-web,html;community;state-of-the-web,jburson,Jory Burson,Standardization and the Open Web,"How do web standards become, well, standard? Although they’re often formalized through official standards-making organizations, they can also emerge through popular practice among the developer community. If both sides don’t work together, we risk delaying implementation, stifling creativity, and losing ground to politics and paralysis. Jory Burson sheds light on the historical underpinnings of web standardization processes—and what that means for the future of the open web.",2015
2015-04-09,/column/wai-finding-with-aria-landmark-roles,browsers;html;web-strategy;accessibility;usability,lgardner,Lyza Danger Gardner,WAI-finding with ARIA Landmark Roles,"Between the intricacies of documentation and the risk of wielding too much power over the browser, WAI-ARIA can be daunting. For the dev uncertain on how to fold accessibility best practices into their daily workflow, Lyza Gardner sets out to summarize one category of roles—the landmark roles. They help user agents map out the territories on a page so the user can navigate them with greater ease, and they’re a great place to start getting familiar with ARIA’s part in assistive technology.",2015
2015-03-31,let-links-be-links,code;application-development;browsers;css;html;javascript;design;user-experience,PenmanRoss,Ross Penman,Let Links Be Links,"The notion of the web as an application platform has never been more popular. Single-page frameworks like Ember and Angular make it easy to create complex applications that offer richer, more robust experiences than traditional websites can. But this benefit comes at a cost. Ross Penman tells us what we can do about it.",2015
2015-03-31,initiation-to-code,community;industry;creativity,amottola,Alice Mottola,Initiation to Code,"The best person to mentor junior developers turns out to be: you. Mentoring can be a powerful tool for guiding and nurturing new hires, but it also benefits you—and your organization—by encouraging collaboration and curiosity in your everyday work. Alice Mottola offers guidance (and a little agile structure) for approaching the mentoring process—and shows how it can build better code and better engineers.",2015
2015-03-26,/column/the-illusion-of-free,user-experience;interaction-design;user-research;application-development;community,laurakalbag,Laura Kalbag,The Illusion of Free,"The number of predictions that algorithms can make about us from even minimal data is shocking. Although we’re offered privacy settings that let us control who of our friends sees what, all our information and behavior tends to be fair game for behind-the-scenes tracking. We simply don’t know everything that’s being done with our data currently, and what companies might be able—and willing—to do with it in the future. Laura Kalbag believes it’s time to locate the exits.",2015
